factor,level,method,lead_hour,n,rmse,mae
pm_bin,high,BiLSTM-MA,24,58533,47.798275715982854,37.810282744965086
pm_bin,severe,BiLSTM-MA,24,35598,131.63445621891302,100.23544853540932
pm_bin,low,GRU+RNN,1,96435,13.885473408763604,8.122388349823233
pm_bin,moderate,GRU+RNN,1,61056,15.767496961508307,9.82478215868743
pm_bin,high,GRU+RNN,1,58551,19.166692393326034,13.477061157505412
pm_bin,severe,GRU+RNN,1,35598,38.84072404385773,26.884135072194724
pm_bin,low,GRU+RNN,6,96456,30.071722884752074,16.281813986265135
pm_bin,moderate,GRU+RNN,6,61035,31.715483053571496,21.524410533115965
pm_bin,high,GRU+RNN,6,58551,39.347890297305,28.76266709894664
pm_bin,severe,GRU+RNN,6,35598,84.07427793136236,59.617240437256285
pm_bin,low,GRU+RNN,12,96513,38.36686614012451,21.101961645561694
pm_bin,moderate,GRU+RNN,12,60984,35.01106052208914,24.19206081311815
pm_bin,high,GRU+RNN,12,58545,44.26343239395593,32.59427883523831
pm_bin,severe,GRU+RNN,12,35598,100.9351237896253,71.61165772414527
pm_bin,low,GRU+RNN,24,96705,62.242981125340975,37.96064252074937
pm_bin,moderate,GRU+RNN,24,60804,35.83952012459471,25.39970203202286
pm_bin,high,GRU+RNN,24,58533,45.54345400942608,36.46397166919902
pm_bin,severe,GRU+RNN,24,35598,125.9120046469139,95.27581315539152
pm_bin,low,Graph WaveNet,1,96435,11.356380119568176,6.278040748524642
pm_bin,moderate,Graph WaveNet,1,61056,15.603717961191894,11.476637936456898
pm_bin,high,Graph WaveNet,1,58551,21.5001553322186,16.403532386956087
pm_bin,severe,Graph WaveNet,1,35598,41.470542150533674,28.685633725534363
pm_bin,low,Graph WaveNet,6,96456,23.312694501242913,11.210338026254274
pm_bin,moderate,Graph WaveNet,6,61035,28.118629028246087,19.562058474119695
pm_bin,high,Graph WaveNet,6,58551,37.534043163143,28.11219985919435
pm_bin,severe,Graph WaveNet,6,35598,82.67650034240395,58.11996511076466
pm_bin,low,Graph WaveNet,12,96513,30.541140731705315,15.224355037552066
pm_bin,moderate,Graph WaveNet,12,60984,33.430501798056824,23.499126942814858
pm_bin,high,Graph WaveNet,12,58545,42.96488484743012,32.159572972525645
pm_bin,severe,Graph WaveNet,12,35598,100.32439211783893,71.28549780653557
pm_bin,low,Graph WaveNet,24,96705,58.85495133436316,34.46342816719329
pm_bin,moderate,Graph WaveNet,24,60804,37.50044084024922,26.55454230125025
pm_bin,high,Graph WaveNet,24,58533,47.35398744140386,36.87318268683836
pm_bin,severe,Graph WaveNet,24,35598,131.9538348219711,96.76726200406596
pm_bin,low,HERMES,1,96435,11.981561711564888,5.615564712603133
pm_bin,moderate,HERMES,1,61056,14.007370025222231,8.390679586452258
pm_bin,high,HERMES,1,58551,16.700201210619667,10.97481187880146
pm_bin,severe,HERMES,1,35598,32.14361376071739,20.29347403246778
pm_bin,low,HERMES,6,96456,25.889280681269184,12.055351986677787
pm_bin,moderate,HERMES,6,61035,28.954024338656662,18.962243337530445
pm_bin,high,HERMES,6,58551,35.338599479788236,25.37770188157926
pm_bin,severe,HERMES,6,35598,74.35542309913245,51.089081928658885
pm_bin,low,HERMES,12,96513,31.144400188361434,16.140084755979842
pm_bin,moderate,HERMES,12,60984,32.5235895223737,22.561063502946112
pm_bin,high,HERMES,12,58545,40.69540421451119,29.94962597070867
pm_bin,severe,HERMES,12,35598,94.35142612486726,66.1173511365604
pm_bin,low,HERMES,24,96705,60.04420153457719,36.14553416031703
pm_bin,moderate,HERMES,24,60804,37.06533602837317,26.118715054470805
pm_bin,high,HERMES,24,58533,45.026228423908165,35.2649943905852
pm_bin,severe,HERMES,24,35598,121.57962088192478,88.10963884228582
pm_bin,low,Persistence,1,96435,13.102451901382985,5.482437463710831
